Trade#,Date,Time_ET,League,Matchup,Away,Away_Score,Home,Home_Score,Actual_Total,Market_Total,Market_Spread,Favorite,Underdog,UD_Score,Pick_Direction,Tier,Ensemble_Score,Win_Prob,Base_Line,Scaled_OVER,Scaled_UNDER,Zone_Width,Primary_Bet,Primary_Line,Primary_Result,Hedge_Bet,Hedge_Line,Hedge_Result,Execution_Rule
11,2025-10-22,7:30 PM,NBA,SAS@DAL,SAS,125,DAL,92,217,224.5,-3.0,SAS,DAL,92,UNDER,C,+0.00,41.4,110.8,95.6,125.9,30.3,UNDER,125.9,HIT,OVER,95.6,MISS,Rule4_UnderDefault
12,2025-10-22,7:30 PM,NBA,TOR@ATL,TOR,138,ATL,118,256,237.0,-5.5,TOR,ATL,118,UNDER,A,+0.00,46.0,115.8,105.5,126.0,20.4,UNDER,126.0,HIT,OVER,105.5,HIT,Rule4_UnderDefault
13,2025-10-22,7:30 PM,NBA,WAS@MIL,WAS,120,MIL,133,253,228.5,+10.0,MIL,WAS,120,UNDER,A,+0.00,2.4,109.2,94.8,123.8,29.0,UNDER,123.8,HIT,OVER,94.8,HIT,Rule1_UpsetClause
14,2025-10-23,7:30 PM,NBA,DEN@GSW,DEN,131,GSW,137,268,232.5,+2.0,GSW,DEN,131,UNDER,C,+0.00,22.8,115.2,101.2,129.3,28.2,UNDER,129.3,MISS,OVER,101.2,HIT,Rule4_UnderDefault
15,2025-10-23,7:30 PM,NBA,OKC@IND,OKC,141,IND,135,276,231.5,+7.5,OKC,IND,135,UNDER,A,+0.00,5.5,112.0,99.9,124.1,24.2,UNDER,124.1,MISS,OVER,99.9,HIT,Rule1_UpsetClause
16,2025-10-24,7:30 PM,NBA,ATL@ORL,ATL,111,ORL,107,218,235.5,+6.0,ORL,ATL,111,UNDER,A,+0.00,8.6,114.8,104.0,125.5,21.4,UNDER,125.5,HIT,OVER,104.0,HIT,Rule1_UpsetClause
17,2025-10-24,7:30 PM,NBA,BOS@NYK,BOS,95,NYK,105,200,231.0,+3.5,NYK,BOS,95,UNDER,B,+0.00,16.6,113.8,103.2,124.2,21.0,UNDER,124.2,HIT,OVER,103.2,MISS,Rule4_UnderDefault
18,2025-10-24,7:30 PM,NBA,CLE@BKN,CLE,131,BKN,124,255,231.0,+11.5,CLE,BKN,124,UNDER,A,+0.00,1.5,109.8,93.8,125.7,31.8,UNDER,125.7,HIT,OVER,93.8,HIT,Rule1_UpsetClause
19,2025-10-24,7:30 PM,NBA,DET@HOU,DET,115,HOU,111,226,226.5,-6.5,DET,HOU,111,UNDER,A,+0.00,47.1,110.0,98.8,121.2,22.3,UNDER,121.2,HIT,OVER,98.8,HIT,Rule4_UnderDefault
20,2025-10-24,7:30 PM,NBA,GSW@POR,GSW,119,POR,139,258,227.5,-2.5,GSW,POR,139,UNDER,C,+0.00,40.1,112.5,97.9,127.1,29.2,UNDER,127.1,MISS,OVER,97.9,HIT,Rule4_UnderDefault
21,2025-10-24,7:30 PM,NBA,MIA@MEM,MIA,146,MEM,114,260,233.0,-3.0,MIA,MEM,114,UNDER,C,+0.00,41.4,115.0,99.8,130.2,30.3,UNDER,130.2,HIT,OVER,99.8,HIT,Rule4_UnderDefault
22,2025-10-24,7:30 PM,NBA,MIL@TOR,MIL,122,TOR,116,238,235.5,+2.0,TOR,MIL,122,UNDER,C,+0.00,22.8,116.8,102.7,130.8,28.2,UNDER,130.8,HIT,OVER,102.7,HIT,Rule4_UnderDefault
23,2025-10-24,7:30 PM,NBA,MIN@LAL,MIN,110,LAL,128,238,225.5,-1.5,MIN,LAL,128,UNDER,C,+0.00,37.0,112.0,98.4,125.6,27.2,UNDER,125.6,MISS,OVER,98.4,HIT,Rule4_UnderDefault
24,2025-10-24,7:30 PM,NBA,SAS@NOP,SAS,120,NOP,116,236,233.5,-4.0,SAS,NOP,116,UNDER,B,+0.00,43.6,114.8,103.8,125.8,22.0,UNDER,125.8,HIT,OVER,103.8,HIT,Rule4_UnderDefault
25,2025-10-24,7:30 PM,NBA,UTA@SAC,UTA,104,SAC,105,209,234.5,-6.0,UTA,SAC,105,UNDER,A,+0.00,46.6,114.2,103.5,125.0,21.4,UNDER,125.0,HIT,OVER,103.5,HIT,Rule4_UnderDefault
26,2025-10-24,7:30 PM,NBA,WAS@DAL,WAS,117,DAL,107,224,228.5,-9.5,WAS,DAL,107,UNDER,A,+0.00,49.0,109.5,95.5,123.5,28.1,UNDER,123.5,HIT,OVER,95.5,HIT,Rule4_UnderDefault
27,2025-10-25,7:00 PM,NBA,CHA@PHI,CHA,121,PHI,125,246,236.0,+5.0,PHI,CHA,121,UNDER,B,+0.00,11.4,115.5,103.5,127.5,24.0,UNDER,127.5,HIT,OVER,103.5,HIT,Rule1_UpsetClause
28,2025-10-25,7:00 PM,NBA,CHI@ORL,CHI,110,ORL,98,208,232.5,+6.0,ORL,CHI,110,UNDER,A,+0.00,8.6,113.2,102.5,124.0,21.4,UNDER,124.0,HIT,OVER,102.5,HIT,Rule1_UpsetClause
29,2025-10-25,7:00 PM,NBA,IND@MEM,IND,103,MEM,128,231,240.5,+2.0,MEM,IND,103,UNDER,C,+0.00,22.8,119.2,105.2,133.3,28.2,UNDER,133.3,HIT,OVER,105.2,MISS,Rule4_UnderDefault
30,2025-10-25,7:00 PM,NBA,OKC@ATL,OKC,117,ATL,100,217,236.5,+8.5,OKC,ATL,100,UNDER,A,+0.00,4.0,114.0,100.9,127.1,26.2,UNDER,127.1,HIT,OVER,100.9,MISS,Rule1_UpsetClause
31,2025-10-25,7:00 PM,NBA,PHX@DEN,PHX,111,DEN,133,244,234.0,+13.0,DEN,PHX,111,UNDER,A,+0.00,0.9,110.5,93.2,127.8,34.7,UNDER,127.8,HIT,OVER,93.2,HIT,Rule2_StructuralOutlier
32,2025-10-26,7:00 PM,NBA,BKN@SAS,BKN,107,SAS,118,225,227.5,+10.5,SAS,BKN,107,UNDER,A,+0.00,2.1,108.5,93.5,123.5,29.9,UNDER,123.5,HIT,OVER,93.5,HIT,Rule1_UpsetClause
33,2025-10-26,7:00 PM,NBA,BOS@DET,BOS,113,DET,119,232,227.0,+2.5,DET,BOS,113,UNDER,C,+0.00,20.7,112.2,97.6,126.9,29.2,UNDER,126.9,HIT,OVER,97.6,HIT,Rule4_UnderDefault
34,2025-10-26,7:00 PM,NBA,CHA@WAS,CHA,139,WAS,113,252,240.0,+1.5,WAS,CHA,139,UNDER,C,+0.00,25.0,119.2,105.7,132.8,27.1,UNDER,132.8,MISS,OVER,105.7,HIT,Rule4_UnderDefault
35,2025-10-26,7:00 PM,NBA,IND@MIN,IND,110,MIN,114,224,228.5,+12.0,MIN,IND,110,UNDER,A,+0.00,1.2,108.2,91.8,124.7,32.8,UNDER,124.7,HIT,OVER,91.8,HIT,Rule1_UpsetClause
36,2025-10-26,7:00 PM,NBA,LAL@SAC,LAL,127,SAC,120,247,225.0,+3.5,SAC,LAL,127,UNDER,B,+0.00,16.6,110.8,100.2,121.2,21.0,UNDER,121.2,MISS,OVER,100.2,HIT,Rule4_UnderDefault
37,2025-10-26,7:00 PM,NBA,MIL@CLE,MIL,113,CLE,118,231,234.0,+6.5,CLE,MIL,113,UNDER,A,+0.00,7.4,113.8,102.6,124.9,22.3,UNDER,124.9,HIT,OVER,102.6,HIT,Rule1_UpsetClause
38,2025-10-26,7:00 PM,NBA,NYK@MIA,NYK,107,MIA,115,222,230.5,+3.0,NYK,MIA,115,UNDER,C,+0.00,18.6,113.8,98.6,128.9,30.3,UNDER,128.9,HIT,OVER,98.6,HIT,Rule4_UnderDefault
39,2025-10-26,7:00 PM,NBA,POR@LAC,POR,107,LAC,114,221,224.0,+8.0,LAC,POR,107,UNDER,A,+0.00,4.7,108.0,95.4,120.6,25.2,UNDER,120.6,HIT,OVER,95.4,HIT,Rule1_UpsetClause
40,2025-10-26,7:00 PM,NBA,TOR@DAL,TOR,129,DAL,139,268,231.5,+1.0,TOR,DAL,139,UNDER,C,+0.00,27.2,115.2,102.2,128.3,26.1,UNDER,128.3,MISS,OVER,102.2,HIT,Rule4_UnderDefault
41,2025-10-27,7:30 PM,NBA,ATL@CHI,ATL,123,CHI,128,251,244.5,+2.5,CHI,ATL,123,UNDER,C,-43.83,20.7,121.0,106.4,135.6,29.2,UNDER,135.6,HIT,OVER,106.4,HIT,Rule4_UnderExecution
42,2025-10-27,7:30 PM,NBA,BKN@HOU,BKN,109,HOU,137,246,224.5,+16.0,HOU,BKN,109,OVER,A,+76.92,0.3,104.2,84.0,124.5,40.4,OVER,84.0,HIT,UNDER,124.5,HIT,Rule2_StructuralOutlier
43,2025-10-27,7:30 PM,NBA,BOS@NOP,BOS,122,NOP,90,212,231.5,+4.5,BOS,NOP,90,UNDER,B,-23.50,13.0,113.5,102.0,125.0,23.0,UNDER,125.0,HIT,OVER,102.0,MISS,Rule1_UpsetClause
44,2025-10-27,7:30 PM,NBA,CLE@DET,CLE,116,DET,95,211,231.0,+2.0,CLE,DET,95,OVER,C,+21.00,22.8,114.5,100.4,128.6,28.2,OVER,100.4,MISS,UNDER,128.6,HIT,Rule3_OverExecution
45,2025-10-27,7:30 PM,NBA,DEN@MIN,DEN,127,MIN,114,241,229.5,+6.5,MIN,DEN,127,OVER,A,+8.75,7.4,111.5,100.3,122.7,22.3,OVER,100.3,HIT,UNDER,122.7,MISS,Rule1_UpsetClause
46,2025-10-27,7:30 PM,NBA,MEM@GSW,MEM,118,GSW,131,249,240.5,+8.0,GSW,MEM,118,OVER,A,+144.25,4.7,116.2,103.7,128.8,25.2,OVER,103.7,HIT,UNDER,128.8,HIT,Rule1_UpsetClause
47,2025-10-27,7:30 PM,NBA,OKC@DAL,OKC,101,DAL,94,195,226.5,+8.5,DAL,OKC,101,OVER,A,+72.50,4.0,109.0,95.9,122.1,26.2,OVER,95.9,HIT,UNDER,122.1,HIT,Rule1_UpsetClause
48,2025-10-27,7:30 PM,NBA,ORL@PHI,ORL,124,PHI,136,260,227.0,+6.5,ORL,PHI,136,UNDER,A,-47.25,7.4,110.2,99.1,121.4,22.3,UNDER,121.4,MISS,OVER,99.1,HIT,Rule1_UpsetClause
49,2025-10-27,7:30 PM,NBA,PHX@UTA,PHX,134,UTA,138,272,229.5,+2.0,UTA,PHX,134,UNDER,C,+0.00,22.8,113.8,99.7,127.8,28.2,UNDER,127.8,MISS,OVER,99.7,HIT,Rule4_UnderDefault
50,2025-10-27,7:30 PM,NBA,POR@LAL,POR,122,LAL,108,230,228.0,+3.0,LAL,POR,122,OVER,C,+122.83,18.6,112.5,97.3,127.7,30.3,OVER,97.3,HIT,UNDER,127.7,HIT,Rule3_OverExecution
51,2025-10-27,7:30 PM,NBA,TOR@SAS,TOR,103,SAS,121,224,232.5,+4.5,SAS,TOR,103,OVER,B,+69.67,13.0,114.0,102.5,125.5,23.0,OVER,102.5,HIT,UNDER,125.5,HIT,Rule1_UpsetClause
52,2025-10-28,7:30 PM,NBA,CHA@MIA,CHA,117,MIA,144,261,239.5,+4.5,MIA,CHA,117,OVER,B,+96.50,13.0,117.5,106.0,129.0,23.0,OVER,106.0,HIT,UNDER,129.0,HIT,Rule1_UpsetClause
53,2025-10-28,7:30 PM,NBA,LAC@GSW,LAC,79,GSW,98,177,224.0,+1.5,GSW,LAC,79,OVER,C,+99.38,25.0,111.2,97.7,124.8,27.2,OVER,97.7,MISS,UNDER,124.8,HIT,Rule3_OverExecution
54,2025-10-28,7:30 PM,NBA,NYK@MIL,NYK,111,MIL,121,232,229.5,+2.0,NYK,MIL,121,UNDER,C,-14.50,22.8,113.8,99.7,127.8,28.2,UNDER,127.8,HIT,OVER,99.7,HIT,Rule4_UnderExecution
55,2025-10-28,7:30 PM,NBA,PHI@WAS,PHI,139,WAS,134,273,239.5,+4.5,PHI,WAS,134,OVER,B,+77.50,13.0,117.5,106.0,129.0,23.0,OVER,106.0,HIT,UNDER,129.0,MISS,Rule1_UpsetClause
56,2025-10-28,7:30 PM,NBA,SAC@OKC,SAC,101,OKC,107,208,227.5,+9.0,OKC,SAC,101,OVER,A,+53.62,3.4,109.2,95.7,122.8,27.1,OVER,95.7,HIT,UNDER,122.8,HIT,Rule1_UpsetClause
57,2025-10-29,7:30 PM,NBA,ATL@BKN,ATL,117,BKN,112,229,238.5,+8.5,ATL,BKN,112,OVER,A,+71.12,4.0,115.0,101.9,128.1,26.1,OVER,101.9,HIT,UNDER,128.1,HIT,Rule1_UpsetClause
58,2025-10-29,7:30 PM,NBA,CLE@BOS,CLE,105,BOS,125,230,233.5,+3.5,CLE,BOS,125,UNDER,B,-27.62,16.6,115.0,104.5,125.5,21.0,UNDER,125.5,HIT,OVER,104.5,HIT,Rule4_UnderExecution
59,2025-10-29,7:30 PM,NBA,HOU@TOR,HOU,139,TOR,121,260,233.5,+5.5,HOU,TOR,121,OVER,A,+81.12,9.9,114.0,103.8,124.2,20.4,OVER,103.8,HIT,UNDER,124.2,HIT,Rule1_UpsetClause
60,2025-10-29,7:30 PM,NBA,IND@DAL,IND,105,DAL,107,212,229.5,-6.0,IND,DAL,107,OVER,A,+29.42,46.6,111.8,101.0,122.5,21.4,OVER,101.0,HIT,UNDER,122.5,HIT,Rule3_OverExecution
61,2025-10-29,7:30 PM,NBA,LAL@MIN,LAL,116,MIN,115,231,224.5,-7.5,LAL,MIN,115,OVER,A,+49.50,47.9,108.5,96.4,120.6,24.2,OVER,96.4,HIT,UNDER,120.6,HIT,Rule3_OverExecution
62,2025-10-29,7:30 PM,NBA,MEM@PHX,MEM,114,PHX,113,227,242.0,-2.0,MEM,PHX,113,OVER,C,+30.00,38.6,120.0,105.9,134.1,28.2,OVER,105.9,HIT,UNDER,134.1,HIT,Rule3_OverExecution
63,2025-10-29,7:30 PM,NBA,NOP@DEN,NOP,88,DEN,122,210,238.0,+11.5,DEN,NOP,88,OVER,A,+26.92,1.5,113.2,97.3,129.2,31.9,OVER,97.3,MISS,UNDER,129.2,HIT,Rule1_UpsetClause
64,2025-10-29,7:30 PM,NBA,ORL@DET,ORL,116,DET,135,251,227.5,+2.0,ORL,DET,135,UNDER,C,-21.12,22.8,112.8,98.7,126.8,28.2,UNDER,126.8,MISS,OVER,98.7,HIT,Rule4_UnderExecution
65,2025-10-29,7:30 PM,NBA,POR@UTA,POR,136,UTA,134,270,235.0,-3.0,POR,UTA,134,OVER,C,+58.25,41.4,116.0,100.8,131.2,30.3,OVER,100.8,HIT,UNDER,131.2,MISS,Rule3_OverExecution
66,2025-10-29,7:30 PM,NBA,SAC@CHI,SAC,113,CHI,126,239,238.0,+4.5,CHI,SAC,113,UNDER,B,-51.50,13.0,116.8,105.2,128.2,23.0,UNDER,128.2,HIT,OVER,105.2,HIT,Rule1_UpsetClause
67,2025-10-30,7:30 PM,NBA,GSW@MIL,GSW,110,MIL,120,230,228.5,+7.5,GSW,MIL,120,OVER,A,+76.01,5.5,110.5,98.4,122.6,24.2,OVER,98.4,HIT,UNDER,122.6,HIT,Rule1_UpsetClause
68,2025-10-30,7:30 PM,NBA,MIA@SAS,MIA,101,SAS,107,208,228.0,+5.5,SAS,MIA,101,OVER,A,+58.75,9.9,111.2,101.0,121.5,20.4,OVER,101.0,MISS,UNDER,121.5,HIT,Rule1_UpsetClause
69,2025-10-30,7:30 PM,NBA,ORL@CHA,ORL,123,CHA,107,230,239.5,+3.5,ORL,CHA,107,OVER,B,+106.68,16.6,118.0,107.5,128.5,21.0,OVER,107.5,MISS,UNDER,128.5,HIT,Rule3_OverExecution
70,2025-10-30,7:30 PM,NBA,WAS@OKC,WAS,108,OKC,127,235,231.0,+15.5,OKC,WAS,108,OVER,A,+64.20,0.4,107.8,88.0,127.5,39.4,OVER,88.0,HIT,UNDER,127.5,HIT,Rule2_StructuralOutlier
71,2025-10-31,7:30 PM,NBA,ATL@IND,ATL,128,IND,108,236,232.5,+2.0,ATL,IND,108,OVER,C,+11.32,22.8,115.2,101.2,129.3,28.2,OVER,101.2,HIT,UNDER,129.3,HIT,Rule3_OverExecution
72,2025-10-31,7:30 PM,NBA,BOS@PHI,BOS,109,PHI,108,217,233.5,+2.0,BOS,PHI,108,OVER,C,+31.35,22.8,115.8,101.7,129.8,28.2,OVER,101.7,HIT,UNDER,129.8,HIT,Rule3_OverExecution
73,2025-10-31,7:30 PM,NBA,DEN@POR,DEN,107,POR,109,216,240.0,-5.5,DEN,POR,109,OVER,A,+116.15,46.0,117.2,107.0,127.5,20.4,OVER,107.0,HIT,UNDER,127.5,HIT,Rule3_OverExecution
74,2025-10-31,7:30 PM,NBA,LAL@MEM,LAL,117,MEM,112,229,238.5,+2.0,MEM,LAL,117,OVER,C,+100.27,22.8,118.2,104.2,132.3,28.2,OVER,104.2,HIT,UNDER,132.3,HIT,Rule3_OverExecution
75,2025-10-31,7:30 PM,NBA,NOP@LAC,NOP,124,LAC,126,250,223.5,-11.0,NOP,LAC,126,UNDER,A,-61.25,49.4,106.2,90.8,121.7,30.9,UNDER,121.7,MISS,OVER,90.8,HIT,Rule4_UnderExecution
76,2025-10-31,7:30 PM,NBA,NYK@CHI,NYK,125,CHI,135,260,233.5,+5.0,NYK,CHI,135,UNDER,B,-92.21,11.4,114.2,102.2,126.2,24.0,UNDER,126.2,MISS,OVER,102.2,HIT,Rule1_UpsetClause
77,2025-10-31,7:30 PM,NBA,TOR@CLE,TOR,112,CLE,101,213,237.0,+4.5,CLE,TOR,112,OVER,B,+33.70,13.0,116.2,104.8,127.8,23.0,OVER,104.8,HIT,UNDER,127.8,HIT,Rule1_UpsetClause
78,2025-10-31,7:30 PM,NBA,UTA@PHX,UTA,96,PHX,118,214,237.5,+3.0,PHX,UTA,96,OVER,C,+85.50,18.6,117.2,102.1,132.4,30.3,OVER,102.1,MISS,UNDER,132.4,HIT,Rule3_OverExecution
79,2025-11-01,7:00 PM,NBA,DAL@DET,DAL,110,DET,122,232,227.5,+7.5,DET,DAL,110,UNDER,A,-28.60,5.5,110.0,97.9,122.1,24.2,UNDER,122.1,HIT,OVER,97.9,HIT,Rule1_UpsetClause
80,2025-11-01,7:00 PM,NBA,GSW@IND,GSW,109,IND,114,223,230.0,+11.0,GSW,IND,114,OVER,A,+37.33,1.7,109.5,94.0,125.0,30.9,OVER,94.0,HIT,UNDER,125.0,HIT,Rule1_UpsetClause
81,2025-11-01,7:00 PM,NBA,HOU@BOS,HOU,128,BOS,101,229,226.5,+4.5,BOS,HOU,128,OVER,B,+5.81,13.0,111.0,99.5,122.5,23.0,OVER,99.5,HIT,UNDER,122.5,MISS,Rule1_UpsetClause
82,2025-11-01,7:00 PM,NBA,MIN@CHA,MIN,122,CHA,105,227,235.5,+4.5,MIN,CHA,105,OVER,B,+62.32,13.0,115.5,104.0,127.0,23.0,OVER,104.0,HIT,UNDER,127.0,HIT,Rule1_UpsetClause
83,2025-11-01,7:00 PM,NBA,ORL@WAS,ORL,125,WAS,94,219,233.5,+9.0,ORL,WAS,94,OVER,A,+88.24,3.4,112.2,98.7,125.8,27.1,OVER,98.7,MISS,UNDER,125.8,HIT,Rule1_UpsetClause
84,2025-11-01,7:00 PM,NBA,SAC@MIL,SAC,135,MIL,133,268,233.0,+6.5,MIL,SAC,135,UNDER,A,-35.12,7.4,113.2,102.1,124.4,22.3,UNDER,124.4,MISS,OVER,102.1,HIT,Rule1_UpsetClause
85,2025-11-02,7:00 PM,NBA,ATL@CLE,ATL,109,CLE,117,226,231.0,+6.5,CLE,ATL,109,UNDER,A,-72.15,7.4,112.2,101.1,123.4,22.3,UNDER,123.4,HIT,OVER,101.1,HIT,Rule1_UpsetClause
86,2025-11-02,7:00 PM,NBA,CHI@NYK,CHI,116,NYK,128,244,235.5,+7.5,NYK,CHI,116,UNDER,A,-6.72,5.5,114.0,101.9,126.1,24.2,UNDER,126.1,HIT,OVER,101.9,HIT,Rule1_UpsetClause
87,2025-11-02,7:00 PM,NBA,MEM@TOR,MEM,104,TOR,117,221,238.5,+4.5,TOR,MEM,104,OVER,B,+71.81,13.0,117.0,105.5,128.5,23.0,OVER,105.5,MISS,UNDER,128.5,HIT,Rule1_UpsetClause
88,2025-11-02,7:00 PM,NBA,MIA@LAL,MIA,120,LAL,130,250,232.0,+5.0,LAL,MIA,120,OVER,B,+63.73,11.4,113.5,101.5,125.5,24.0,OVER,101.5,HIT,UNDER,125.5,HIT,Rule1_UpsetClause
89,2025-11-02,7:00 PM,NBA,NOP@OKC,NOP,106,OKC,137,243,228.5,+13.0,OKC,NOP,106,UNDER,A,-43.68,0.9,107.8,90.4,125.1,34.7,UNDER,125.1,HIT,OVER,90.4,HIT,Rule2_StructuralOutlier
90,2025-11-02,7:00 PM,NBA,PHI@BKN,PHI,129,BKN,105,234,233.0,+4.5,PHI,BKN,105,OVER,B,+97.60,13.0,114.2,102.8,125.8,23.0,OVER,102.8,HIT,UNDER,125.8,HIT,Rule1_UpsetClause
91,2025-11-02,7:00 PM,NBA,SAS@PHX,SAS,118,PHX,130,248,227.5,+5.0,SAS,PHX,130,OVER,B,+16.07,11.4,111.2,99.2,123.2,24.0,OVER,99.2,HIT,UNDER,123.2,MISS,Rule1_UpsetClause
92,2025-11-02,7:00 PM,NBA,UTA@CHA,UTA,103,CHA,126,229,233.0,+1.5,UTA,CHA,126,OVER,C,+52.82,25.0,115.8,102.2,129.3,27.1,OVER,102.2,HIT,UNDER,129.3,HIT,Rule3_OverExecution
93,2025-11-03,7:30 PM,NBA,DAL@HOU,DAL,102,HOU,110,212,225.5,+12.5,HOU,DAL,102,OVER,A,+27.80,1.0,106.5,89.6,123.4,33.8,OVER,89.6,HIT,UNDER,123.4,HIT,Rule2_StructuralOutlier
94,2025-11-03,7:30 PM,NBA,DET@MEM,DET,114,MEM,106,220,236.0,+4.0,MEM,DET,114,UNDER,B,-10.95,14.7,116.0,105.0,127.0,22.0,UNDER,127.0,HIT,OVER,105.0,HIT,Rule1_UpsetClause
95,2025-11-03,7:30 PM,NBA,LAL@POR,LAL,123,POR,115,238,228.0,+9.5,POR,LAL,123,OVER,A,+81.87,2.9,109.2,95.2,123.3,28.1,OVER,95.2,HIT,UNDER,123.3,HIT,Rule1_UpsetClause
96,2025-11-03,7:30 PM,NBA,MIA@LAC,MIA,120,LAC,119,239,227.0,+7.5,LAC,MIA,120,OVER,A,+39.09,5.5,109.8,97.6,121.9,24.2,OVER,97.6,HIT,UNDER,121.9,HIT,Rule1_UpsetClause
97,2025-11-03,7:30 PM,NBA,MIL@IND,MIL,117,IND,115,232,235.0,+6.0,MIL,IND,115,OVER,A,+19.93,8.6,114.5,103.8,125.2,21.4,OVER,103.8,HIT,UNDER,125.2,HIT,Rule1_UpsetClause
98,2025-11-03,7:30 PM,NBA,MIN@BKN,MIN,125,BKN,109,234,226.0,+9.5,MIN,BKN,109,OVER,A,+47.27,2.9,108.2,94.2,122.3,28.1,OVER,94.2,HIT,UNDER,122.3,HIT,Rule1_UpsetClause
99,2025-11-03,7:30 PM,NBA,SAC@DEN,SAC,124,DEN,130,254,237.0,+11.5,DEN,SAC,124,UNDER,A,-3.57,1.5,112.8,96.8,128.7,31.9,UNDER,128.7,HIT,OVER,96.8,HIT,Rule1_UpsetClause
100,2025-11-03,7:30 PM,NBA,UTA@BOS,UTA,105,BOS,103,208,233.0,+10.5,BOS,UTA,105,UNDER,A,-2.96,2.1,111.2,96.3,126.2,29.9,UNDER,126.2,HIT,OVER,96.3,HIT,Rule1_UpsetClause
101,2025-11-03,7:30 PM,NBA,WAS@NYK,WAS,102,NYK,119,221,234.0,+13.0,NYK,WAS,102,OVER,A,+19.11,0.9,110.5,93.2,127.8,34.7,OVER,93.2,HIT,UNDER,127.8,HIT,Rule2_StructuralOutlier
102,2025-11-04,7:30 PM,NBA,CHA@NOP,CHA,112,NOP,116,228,229.5,+2.5,NOP,CHA,112,OVER,C,+25.96,20.7,113.5,98.9,128.1,29.2,OVER,98.9,HIT,UNDER,128.1,HIT,Rule3_OverExecution
103,2025-11-04,7:30 PM,NBA,MIL@TOR,MIL,100,TOR,128,228,237.5,+2.0,TOR,MIL,100,OVER,C,+88.42,22.8,117.8,103.7,131.8,28.2,OVER,103.7,MISS,UNDER,131.8,HIT,Rule3_OverExecution
104,2025-11-04,7:30 PM,NBA,ORL@ATL,ORL,112,ATL,127,239,240.0,+3.5,ORL,ATL,127,UNDER,B,-32.48,16.6,118.2,107.8,128.8,21.0,UNDER,128.8,HIT,OVER,107.8,HIT,Rule4_UnderExecution
105,2025-11-05,7:30 PM,NBA,BKN@IND,BKN,112,IND,103,215,232.5,+6.5,IND,BKN,112,OVER,A,+31.79,7.4,113.0,101.8,124.2,22.3,OVER,101.8,HIT,UNDER,124.2,HIT,Rule1_UpsetClause
